id,title,content,source_url,major_category,middle_category,supplier_name,amount,currency,province,city,contact_name,email,phone_number,event_time,min_order,unit,supplier_address,created_at,updated_at
1,强森 冷挤压钢筋套筒 45号钢内外直螺纹建筑钢筋连接套筒 钢筋接头,产品特性：45#钢; 表面处理 抛光; 公称直径 37; 长度 62mm; 适用范围 建筑配件。,https://b2b.baidu.com/land?id=d0933c02cd2359412983d19f157b910110,手动工具,套筒,邯郸市强森紧固件制造有限公司,0.62,人民币:元,河北省,邯郸市,武云飞,1203110876@qq.com,13131027275,2025-07-22,1.0,件起,河北省邯郸市永年区飞宇螺丝大世界8排B19,2026-07-28 15:09:27,2026-08-04 11:02:28
25,道路施工清扫车 亚亚机械20铲车扫地车 农村道路扫路车 钢刷强力,产品特性：SM20; 材质 铁; 类别 铲车清扫机; 规格 20; 是否定制 是。,https://b2b.baidu.com/land?id=4faf2bf3269523fb5ebe3431a3ed7f8710,搬运起重,叉车,任县亚亚机械制造厂,16.50,人民币:元,河北省,邢台市,孙经理,786212396@qq.com,15132912053,2025-07-22,1.0,台,河北省邢台市任泽区任县亚飞机械厂大东吴333号,2026-07-28 15:09:27,2026-08-04 11:02:28
26,小型履带随车挖 轮式一体 多用途挖掘机 水陆两用挖机 农用车,产品特性：支持加工定制 是; 臂类型 挖臂; 产品类型 随车挖; 传动方式 液压转动; 发动机功率 24KW。,https://b2b.baidu.com/land?id=20884a6ae18907595566647cee64179710,搬运起重,挖掘机,济宁凯斯特重工有限公司,7890.00,人民币:元,山东省,济宁市,张经理,407875669@qq.com,15092685599,2025-07-22,1.0,台,山东省济宁市任城区长沟镇南田工业园,2026-07-28 15:09:27,2026-08-04 11:02:28
27,建筑热镀锌筑钢跳板 盘扣脚手架走道板 按需定制供应,产品特性：不锈钢; 管壁厚 210mm; 管公称口径 7.93mm; 管长 1mm; 脚手架类别 脚手架。,https://b2b.baidu.com/land?id=3555508c1bbad61c4f6740f16a0bcabb10,搬运起重,脚手架,河北帅腾金属丝网制品有限公司,17.00,人民币:元,河北省,衡水市,任京华,597098074@qq.com,17331876006,2025-07-22,1.0,件起,河北省衡水市安平县安平县帅腾网业,2026-07-28 15:09:27,2026-08-04 11:02:28
28,不锈钢凸轮转子泵 食品级液体膏体高粘度灌装机泵送 使用便捷,产品特性：支持加工定制 是; 是否进口 是; 材质 不锈钢; 工作压力 0.6MPa; 功率 2.2W。,https://b2b.baidu.com/land?id=29157227df6284fb6f56d0363c3ee89a10,搬运起重,灌装机械,河北至上机械设备有限公司,4100.00,人民币:元,河北省,沧州市,左蕊,17732485655@163.com,17732485655,2025-07-22,1.0,台,河北省沧州市泊头市瓦罐营养快餐(河西街店)河西街396号,2026-07-28 15:09:27,2026-08-04 11:02:28
29,全地形履带式运输车农业履带搬运车 液压自卸方便耐用加厚车厢车架,产品特性：支持加工定制 是; 产品规格 3吨全地形履带车; 产品类型 全地形履带运输车; 档数 前3倒1; 额定功率 25KW。,https://b2b.baidu.com/land?id=ef035107f1e8a9deb2693e53841cee9810,搬运起重,履带车,济宁力德工程机械有限公司,3000.00,人民币:元,山东省,济宁市,高经理,2907268025@qq.com,15953482693,2025-07-22,1.0,台,山东省济宁市汶上县山东北骏重工有限公司山东北骏,2026-07-28 15:09:27,2026-08-04 11:02:28
30,兴源 3吨5吨悬臂吊起重机 工厂车间货物吊运 品质保证 规格齐全,产品特性：支持加工定制 是; 是否进口 否; 变幅工作速度 10m/min; 材质 钢板; 操作方式 遥控。,https://b2b.baidu.com/land?id=793d33b3a2044125730adaf9be387e4310,搬运起重,悬臂吊,山东兴源机械有限公司,8900.00,人民币:元,山东省,泰安市,殷经理,1106918278@qq.com,15753855567,2025-07-22,1.0,台,山东省泰安市新泰市山东兴源机械有限公司,2026-07-28 15:09:27,2026-08-04 11:02:28
31,矿山专用矿车 矿山地下拉矿石隧道引水洞出渣 UQ-8四不像井下运输车,产品特性：支持加工定制 是; 类型 矿车; 适用范围 矿山地下拉矿石隧道引水洞出渣; 适用领域 矿山、隧道、引水洞; 输送能力 7吨。,https://b2b.baidu.com/land?id=bdaad70ec51dcdf15e0249a6258213f910,搬运起重,运输车,山东北骏机械有限公司,5300.00,人民币:元,山东省,济宁市,陈经理,2907268025@qq.com,13355106323,2025-07-22,1.0,辆,山东省济宁市任城区长沟镇山东力德重工机械有限公司,2026-07-28 15:09:27,2026-08-04 11:02:28
32,德力信 电动葫芦单梁起重机 操控简单 污水处理厂专用 安装指导,产品特性：方式 遥控; 车速 10m/s; 大车运行速度 9m/s; 吊钩升降速度 9m/s; 工作幅度 9m。,https://b2b.baidu.com/land?id=cb088600606ad5839048df8537104d4910,搬运起重,起重葫芦,泰安德力信重工机械有限公司,6800.00,人民币:元,山东省,泰安市,孙总,1821312678@qq.com,13561753188,2025-07-22,1.0,台,山东省泰安市新泰市山东亨展重工机械有限公司,2026-07-28 15:09:27,2026-08-04 11:02:28
33,AI人工智能客服软件开发定制工农业采摘巡检巡逻实体机器人系统,产品特性：漫云科技; 发票 普票; 包装清单 app; 软件形式 小程序; 运行环境 手机。,https://b2b.baidu.com/land?id=6cf20096a8c9b5bbc3c2c75854ad058d10,电商工具,智能客服,河南漫云科技有限公司,9999.00,人民币:元,河南省,郑州市,经理,930652038@qq.com,15649051012,2025-07-22,1.0,套,河南省郑州市金水区升龙广场3号楼A座3202,2026-07-28 15:09:27,2026-08-04 11:02:28
34,敏捷开发更具创意 满意度高 客服智能体 慧谷信息技术,产品特性：慧谷郅貹; 服务方式 1V2技术顾问; 应用对象 全行业; 操作系统 IOSAndroid; 后台功能 管理添加。,https://b2b.baidu.com/land?id=0abd2eabb683a24ed6f7d1597753e42110,电商工具,智能客服,青岛慧谷郅貹信息技术有限公司,599.00,人民币:元,山东省,青岛市,王书磊,431128891@qq.com,18561590430,2025-07-22,1.0,套,山东省青岛市黄岛区索菲亚国际中心6F,2026-07-28 15:09:27,2026-08-04 11:02:28
35,真利智能锁售后维修400服务热线【7x24小时客服热线】,产品特性：特性 更换维修; 服务特性 售后维修; 售后电话 400-1822-001; 服务时间 7*24小时; 服务人员 厂家特约。,https://b2b.baidu.com/land?id=79c32a5550a9f83f3548e11cf8f2106710,电商工具,智能客服,赣州港生网络科技有限公司,50.00,人民币:元,浙江省,金华市,钟女士,,18512014501,2025-07-22,1.0,个,浙江省金华市义乌市义乌市佛王线伊甸幼儿园西侧,2026-07-28 15:09:27,2026-08-04 11:02:28
36,小语智能客服呼叫中心系统 CRM管理 智能客服机器人,产品特性：小语智能; 运行环境 电脑端; 软件形式 本地化部署; 版本语言 汉语; 软件名称 易捷客。,https://b2b.baidu.com/land?id=2ca864407a47de0a6c5d12a05924ce3010,电商工具,智能客服,杭州智语网络科技有限公司,1000.00,人民币:元,浙江省,杭州市,徐经理,xyw@xiaoyu168.com,18667929798,2025-07-22,5.0,套,浙江省杭州市余杭区乐富海邦园17座604室,2026-07-28 15:09:27,2026-08-04 11:02:28
37,鼎捷智能派工ERP 品质上乘 全天客服 性价比高 按需定制,产品特性：鼎捷; 响应速度 快; 功能 齐全; 性价比 高; 使用效果 精湛。,https://b2b.baidu.com/land?id=1b4cefb0cd598ee5766d7306a5606dd810,电商工具,智能客服,广州市晶捷软件有限公司,16.88,人民币:元,广东省,广州市,张经理,1951703363@qq.com,19132579880,2025-07-22,1.0,台,广东省广州市番禺区发现广场703,2026-07-28 15:09:27,2026-08-04 11:02:28
38,燃气 热力 自来水智能客服系统 接口丰富 集成便捷,产品特性：全宇; 运行环境 PC; 开放接口 一键安装; 线路 三大运营商; 行业 所有正规行业。,https://b2b.baidu.com/land?id=370ca29f48377a8609ac9dd5deff698410,电商工具,智能客服,重庆全宇科技发展有限公司,800.00,人民币:元,重庆市,重庆市,李经理,2101586130@qq.com,18996197901,2025-07-22,1.0,套,重庆市九龙坡区龙湖新壹城(商住楼)一号楼18-30,2026-07-28 15:09:27,2026-08-04 11:02:28
39,帝尼特智能锁400全国售后维修服务热线【24小时客服热线】,产品特性：电话 4001822001; 服务时间 7*24小时人工服务; 服务人员 专业师傅; 收费标准 按实际故障收费; 服务网点 全国各地均有网点。,https://b2b.baidu.com/land?id=475d86a9f95fbb7b62c3a68bc1aba84f10,电商工具,智能客服,赣州港生网络科技有限公司,50.00,人民币:元,浙江省,金华市,钟女士,,18512014501,2025-07-22,1.0,件,浙江省金华市义乌市义乌市佛王线伊甸幼儿园西侧,2026-07-28 15:09:27,2026-08-04 11:02:28
40,康廷智能锁 400售后维修服务热线【7x24小时客服热线】,产品特性：网点 全国均有服务网点; 拒真率&lt ≤0.01%; 故障解决方法 拨打4006630989; 是否支持加工定制 否; 密码忘记维修 密码指纹保险箱柜,https://b2b.baidu.com/land?id=851f0ca3e335e46ce3ebb9f018413cd910,电商工具,智能客服,随州市众盛汇隆科技有限公司,50.00,人民币:元,,,客服,1057666109@qq.com,18779727425,2025-07-22,1.0,次,湖北随州,2026-07-28 15:09:27,2026-08-04 11:02:28
41,智能客服后台管理系统-拔俗网络专业小程序，APP，网站定制开发,产品特性：上海拔俗网络; 发票 暂无-5959; 单位 拔俗(上海)网络技术有限公司; 版本号 2858; 包装清单 暂无-8985。,https://b2b.baidu.com/land?id=3f34502c7add7535f1650aa71b01a32810,电商工具,智能客服,拔俗（上海）网络技术有限公司,2.20,人民币:元,上海市,上海市,戴经理,ybbe@ybbe.com,13817224327,2025-07-22,1.0,套,上海市徐汇区拔俗(上海)网络技术有限公司,2026-07-28 15:09:27,2026-08-04 11:02:28
42,虚拟数字人开发 智能客服定 制 IP形象定制 直播带货 橙云网络,产品特性：橙云网络; 潜心 研发; 服务时间 24小时在线客服; 是否支持加工定制 是; 国内直播平台 抖音，快手，视频号，美团，京东，拼多多。,https://b2b.baidu.com/land?id=4d20c67165b3184b82503ee4c8b57a2a10,电商工具,智能客服,河南橙云网络科技有限责任公司,1500.00,人民币:元,河南省,郑州市,王总,15603808718@163.com,13273719723,2025-07-22,1.0,套,河南省郑州市中原区凯旋门-C座1905,2026-07-28 15:09:27,2026-08-04 11:02:28
43,曼霏电话机器人 深圳电销软件 电话营销系统 AI智能客服 外呼话机,产品特性：曼霏; 应用情景 电话销售，电话邀约，电话回访，电话客服; 优势 接通率高，约50%左右; 并发 1路; 语音识别引擎 科大讯飞。,https://b2b.baidu.com/land?id=059b7f5ec3e522cca14d03af5f4b4d1210,电商工具,智能客服,深圳曼霏科技有限公司,2950.00,人民币:元,广东省,深圳市,陈南峰,2986159495@qq.com,18100292410,2025-07-22,1.0,套,广东省深圳市宝安区宝安西乡臣田工业区-22栋,2026-07-28 15:09:27,2026-08-04 11:02:28
44,呼叫中心客服外包 电话销售营销语音外呼系统找传播易广告商城,产品特性：传播易 CHUANBOYI.COM; 策划周期 1周; 服务范围 客服外包; 广告用材 语音; 广告片时长 8小时。,https://b2b.baidu.com/land?id=f3a7c147fdf39d7d9145a6530771236110,电商工具,智能客服,广州传播易智能科技有限公司,350.00,人民币:元,广东省,广州市,郝纯,26460200@qq.com,17674506339,2025-07-22,1.0,个,广东省广州市天河区祥兴大厦4层,2026-07-28 15:09:27,2026-08-04 11:02:28
45,网易七鱼智能客服系统 快速接入 全渠道24小时在线,产品特性：网易; 版本 七鱼; 服务营销 企业全场景; 技术经验 价值最大化; 服务环节 智能驱动。,https://b2b.baidu.com/land?id=eee8c1436238bc56891cb978c834169f10,电商工具,智能客服,江苏奕企云数字科技有限公司,5888.00,人民币:元,江苏省,无锡市,陈经理,info@17opt.com,15206176000,2025-07-22,1.0,套,江苏省无锡市梁溪区太湖广场时代国际-A座3102室,2026-07-28 15:09:27,2026-08-04 11:02:28
46,云蝠智能外呼 大模型技术 逼真语音 高效寻找客户AI外呼系统电销获客,产品特性：云蝠智能; 名称 云蝠智能大模型外呼; 功能 寻找客户; 材料 PC端系统 登录即可; 版权 自研产品。,https://b2b.baidu.com/land?id=90fefda38c1181366d9b38cf5bc5301110,电商工具,智能客服,南京星蝠科技有限公司,0.10,人民币:元,江苏省,南京市,张亚慧,zhangyahui@telrobot.top,15951765054,2025-07-22,1.0,台,江苏省南京市栖霞区云蝠智能,2026-07-28 15:09:27,2026-08-04 11:02:28
47,【智慧物业神器】智能收费+巡检+客服系统 一键管理省人工 降本增效,产品特性：园天机; 发票 电子发票; 版本号 V2.0; 分辨率 1K; 包装清单 1项目。,https://b2b.baidu.com/land?id=e23f5162572d4f242cfd3e064c9ab6b410,电商工具,智能客服,矽谷科技（东莞）有限公司,1.00,人民币:元,广东省,东莞市,彭国良,to-pgl@qq.com,15818300389,2025-07-22,1.0,套,广东省东莞市松山湖创投大厦1栋402室,2026-07-28 15:09:27,2026-08-04 11:02:28
48,NLP文本机器人-在线客服机器人|自动回复|多轮对话,产品特性：一号互联; 功能 NLP对话、多轮对话、知识图谱; 是否支持GPT GPT版本支持gpt; 对接方式 API方式对接; 精准识别 用户意图。,https://b2b.baidu.com/land?id=7a728ac2e5a5d139db188e0d7e0613fa10,电商工具,智能客服,深圳市一号互联科技有限公司,5800.00,人民币:元,广东省,深圳市,陈先生,chenxiong@yihaohulian.com,13570852746,2025-07-22,1.0,台,广东省深圳市南山区粤美特大厦1403,2026-07-28 15:09:27,2026-08-04 11:02:28
49,工业机器人IP67检测 防尘防水实验室第三方机构油污防护测试 质海,产品特性：质海检测; 产品类型 日用/工业/电气; 检测地点 深圳; 检测范围 全国; 测试1 防水测试。,https://b2b.baidu.com/land?id=e73b0a7d9d68edd377962f862748d2e110,电商工具,智能客服,质海检测技术（深圳）有限公司,200.00,人民币:元,广东省,深圳市,李经理,King@zhihai-Lab.com,18123625672,2025-07-22,1.0,个,广东省深圳市宝安区金达城大厦6楼,2026-07-28 15:09:27,2026-08-04 11:02:28
50,云客服系统 智能对话服务 自然流畅 提高客户满意度,产品特性：信通网赢; 加工定制 否; 规格 台; 是否有线 无线; 是否实体 非实体。,https://b2b.baidu.com/land?id=e62720027dd34ea085b6976a253ec8a410,电商工具,智能客服,北京信通网赢科技发展有限公司,500.00,人民币:元,悦秀路99号北京市,悦秀路99号北京市,杨,yangzeyu@union400.com,16628721916,2025-07-22,1.0,套,悦秀路99号北京市海淀区悦秀路99号4层2单元417,2026-07-28 15:09:27,2026-08-04 11:02:28
51,自动售检票系统(AFC)仿真实训系统 智能客服 高速铁路车站检票闸机,产品特性：翼梭; 版本号 ES-A1198; 软件名称 自动售检票系统(AFC)仿真实训系统; 配套附件 铁路客票、旅服系统软件及售检票设备实训; 数据同步 按高职院校和铁路局要求定制运营线路,https://b2b.baidu.com/land?id=e7356b65d74c71d19cc4f9ad3dc1da1410,电商工具,智能客服,广州翼梭电子科技有限公司,8.67,人民币:元,,,刘先生,741401533@qq.com,13825089655,2025-07-22,198.0,台,番禺区大石街会江石北工业大道丰晟工业园G栋三楼,2026-07-28 15:09:27,2026-08-04 11:02:28
